gen_tech,gen_energy_source,period,Energy_GWh_typical_yr,VariableCost_per_yr,DispatchEmissions_tCO2_per_typical_yr,GenCapacity_MW,GenCapitalCosts,GenFixedOMCosts,LCOE_dollar_per_MWh,capacity_factor,Store_GWh_typical_yr,Discharge_GWh_typical_yr
Batteries,Electricity,2030,-4018.5577304931535,3321589.124135466,0.0,22102.199999999997,0.0,137807217.0,6.373250913184579,0.1146849741268341,26162.48522472959,22143.92749423644
Batteries,Electricity,2040,-91.17953062496443,75365.58078471488,0.0,495.0,0.0,3086325.0,6.292707920243243,0.11618871989848865,593.6167358563971,502.43720523143253
Battery_*_Moderate,Electricity,2030,-295.85769659946385,244544.8773472527,0.0,1194.2210321416499,29684384.722089216,7478212.103271012,22.944955201160994,0.1562679697655693,1926.1568789144821,1630.2991823150178
Battery_*_Moderate,Electricity,2040,-41995.38264911115,34711808.46968536,0.0,131780.1432046449,3179455635.35456,812029242.4270217,17.39838774073428,0.20101264639519897,273407.4391136802,231412.0564645691
Battery_*_Moderate,Electricity,2050,-89771.27722488024,74201571.32950942,0.0,275229.5909803776,5747359795.254478,1468625097.4712949,14.737261624180785,0.20573780073669368,584448.4194216097,494677.1421967295
Biomass,Waste_biomass,2030,23417.1762115927,160433638.0443077,0.0,12180.1,0.0,1837368085.0,85.3135196572204,0.22007516933426832,0.0,0.0
Biomass,Waste_biomass,2040,13409.991792156114,88190815.08366145,0.0,7686.6,0.0,1159523610.0,93.04363823798053,0.19970162789593618,0.0,0.0
Biomass,Waste_biomass,2050,8120.8088293196115,53411132.20237908,0.0,4716.0,0.0,711408600.0,94.18024094361772,0.19711190951249885,0.0,0.0
Conventional Hydroelectric,Water,2030,252953.871936599,0.0,0.0,67897.29999999999,0.0,3194432170.399999,12.628516598475551,0.42645793696634554,0.0,0.0
Conventional Hydroelectric,Water,2040,230605.5968008245,0.0,0.0,64131.99999999999,0.0,3017282335.9999995,13.084167851338165,0.41160669877682265,0.0,0.0
Conventional Hydroelectric,Water,2050,205886.58396941662,0.0,0.0,57582.49999999999,0.0,2709141459.9999995,13.158416676641878,0.409284131052883,0.0,0.0
Conventional Steam Coal,Coal,2030,6.584407288454375,12372.101295005772,7455.484092972778,184563.6,0.0,12159790793.0546,1846757.4426141386,4.08373929371711e-06,0.0,0.0
Conventional Steam Coal,Coal,2040,105.42230914512807,198088.5188836956,109087.79021886896,111111.29999999999,0.0,7279141689.9001,69049.32966700611,0.0001086079635242176,0.0,0.0
Conventional Steam Coal,Coal,2050,194.64034628025234,365729.2106605941,201712.118819898,39531.5,0.0,2593219398.4063,13325.012913214789,0.0005636077411311752,0.0,0.0
Geothermal,Heat,2030,5002.79619846245,0.0,0.0,1275.3999999999999,0.0,266687415.39999998,53.30767131428683,0.4490076838694909,0.0,0.0
Geothermal,Heat,2040,3007.7498891917394,0.0,0.0,795.2,0.0,166277115.2,55.282892968431945,0.4329649326234046,0.0,0.0
Geothermal,Heat,2050,840.4684495676714,0.0,0.0,243.70000000000002,0.0,50957913.7,60.63037074885112,0.39477828905998535,0.0,0.0
Hydroelectric Pumped Storage,Electricity,2030,-13600.658936187398,0.0,0.0,22807.100000000002,0.0,1073028440.8,26.304614225304803,0.20473712670343222,54393.062565804445,40792.40362961705
Hydroelectric Pumped Storage,Electricity,2040,-17715.75316815436,0.0,0.0,22807.100000000002,0.0,1073028440.8,20.194461004765607,0.266683578940791,70850.54297743822,53134.78980928386
Hydroelectric Pumped Storage,Electricity,2050,-17995.71721569799,0.0,0.0,22807.100000000002,0.0,1073028440.8,19.880290529109182,0.2708980096465651,71970.20210709567,53974.48489139769
Hydrogen_CCAvgCF_Moderate,Hydrogen,2030,0.0001668099507906392,0.33361990158127836,0.0,7.201170585877513e-05,4.778422838737147,2.0163277640457036,42.7334848465416,0.2651589130044866,0.0,0.0
Hydrogen_CCAvgCF_Moderate,Hydrogen,2040,0.0002602059614583151,0.5204119229166302,0.0,0.00012053603322076739,8.041401750389102,3.3750089301814867,45.874516235476385,0.2471085213299573,0.0,0.0
Hydrogen_CCAvgCF_Moderate,Hydrogen,2050,0.00040259257164800574,0.8051851432960114,0.0,0.00020311181675394742,13.116683086487782,5.687130869110527,48.70680802337017,0.2268913510629191,0.0,0.0
Hydrogen_CTAvgCF_Moderate,Hydrogen,2030,4.6520199361373034e-05,0.23260099680686516,0.0,6.442507960962864e-05,3.417207482639749,1.3529266718022015,107.5389877929612,0.08265592263180846,0.0,0.0
Hydrogen_CTAvgCF_Moderate,Hydrogen,2040,6.374089394196457e-05,0.31870446970982286,0.0,9.555088467116375e-05,5.060168208059871,2.0065685780944387,115.8666093165951,0.07636086023564538,0.0,0.0
Hydrogen_CTAvgCF_Moderate,Hydrogen,2050,0.00010640480452679727,0.5320240226339863,0.0,0.00016100216122023002,8.201939568855884,3.38104538562483,113.8577250434554,0.07565138912361098,0.0,0.0
LandbasedWind_Class3_Moderate,Wind,2030,911523.0961041843,0.0,0.0,250459.60105206585,25323476286.653015,10110302715.668741,38.87315544034419,0.41659817914705954,0.0,0.0
LandbasedWind_Class3_Moderate,Wind,2040,1807435.4159177942,0.0,0.0,523152.00307940505,48214707814.46113,20293455084.567444,37.90351914966817,0.3954779460712812,0.0,0.0
LandbasedWind_Class3_Moderate,Wind,2050,2286464.4815538023,0.0,0.0,675062.7968325242,60579457080.48457,25522528427.090885,37.657259144941335,0.38771058645198425,0.0,0.0
Natural Gas Fired Combined Cycle,Naturalgas,2030,417680.64098033134,1510998004.0356948,160739256.0963391,321931.8,0.0,3824219713.8681,12.773437872010522,0.14851415325744768,0.0,0.0
Natural Gas Fired Combined Cycle,Naturalgas,2040,340612.8139830797,1238617066.538697,131606538.08869267,315146.89999999997,0.0,3734573488.7978,14.60071480335894,0.12371869131566168,0.0,0.0
Natural Gas Fired Combined Cycle,Naturalgas,2050,309476.8666718748,1127629792.1926792,119920209.49218157,308784.0,0.0,3644428067.6137,15.419756284614285,0.11472571605818851,0.0,0.0
Natural Gas Fired Combustion Turbine,Naturalgas,2030,696.943661998743,3679165.591691364,399132.103233144,164224.0,0.0,1785488829.7977,2567.1630189709913,0.0004857898333238028,0.0,0.0
Natural Gas Fired Combustion Turbine,Naturalgas,2040,4703.266299404555,24828542.79455664,2752984.0085532833,156407.1,0.0,1696495159.6487,365.98474185082404,0.003442155455778655,0.0,0.0
Natural Gas Fired Combustion Turbine,Naturalgas,2050,6616.553844491039,34928787.74506819,3901529.54703693,129707.90000000001,0.0,1405049557.911,217.6326800174079,0.005839192564801287,0.0,0.0
Natural Gas Internal Combustion Engine,Naturalgas,2030,324.45951335142587,1481365.8789372703,152806.12031721577,5602.3,0.0,117648300.0,367.16342402297363,0.0066295114612673536,0.0,0.0
Natural Gas Internal Combustion Engine,Naturalgas,2040,1005.4223994110416,4638084.07723211,478419.4101460503,5300.0,0.0,111300000.0,115.3128119536093,0.021715011390970384,0.0,0.0
Natural Gas Internal Combustion Engine,Naturalgas,2050,1157.9957601357135,5360333.975305022,552919.2504254597,5087.6,0.0,106839600.0,96.89148944911123,0.02605441853182142,0.0,0.0
Natural Gas Steam Turbine,Naturalgas,2030,31.697797990964784,33472.87467845881,16005.506294725103,6762.900000000001,0.0,267030295.3608,8425.30980579796,0.0005365170181710793,0.0,0.0
Natural Gas Steam Turbine,Naturalgas,2040,141.3507821576758,149266.42595850566,73689.0010848919,1888.5,0.0,90151210.5,638.8395985331653,0.008567785822279574,0.0,0.0
Natural Gas Steam Turbine,Naturalgas,2050,79.60056376666168,84058.19533759473,43538.753817683806,1109.7,0.0,50196434.1,631.6600023427985,0.008211035546049562,0.0,0.0
NaturalGas_CCAvgCF_Moderate,Naturalgas,2030,2280.705997891877,4561411.995783753,769650.6951781895,574.2760141616889,40288682.69668554,16079728.396527288,26.715334262862374,0.45460687775217906,0.0,0.0
NaturalGas_CCAvgCF_Moderate,Naturalgas,2040,33174.85268646803,66349705.37293607,11195238.867339803,13626.644883302497,917160520.2297575,381546056.73246986,41.147320087180596,0.2786810508722607,0.0,0.0
NaturalGas_CCAvgCF_Moderate,Naturalgas,2050,34430.21418113726,68860428.3622745,11618875.165909268,13626.645030977876,917160529.2264078,381546060.86738056,39.71996837606925,0.28922654929184344,0.0,0.0
NaturalGas_CCCCSAvgCF_Conservative,Naturalgas,2030,629058.4099396745,6650400361.784348,23898532.88968177,105160.91849745852,15117023482.116112,7132274848.144064,45.94120074607372,0.6847372854785805,0.0,0.0
NaturalGas_CCCCSAvgCF_Conservative,Naturalgas,2040,586885.9975871498,6205977202.300341,22296362.458893504,116364.42938899803,16692820835.862938,7891147420.141853,52.46324769187046,0.5773256833658267,0.0,0.0
NaturalGas_CCCCSAvgCF_Conservative,Naturalgas,2050,672969.187812966,7205341340.785476,25566745.49543487,141911.55305753,20006914708.16093,9629197301.724419,54.7446361852007,0.5428312007850067,0.0,0.0
NaturalGas_CTAvgCF_Moderate,Naturalgas,2030,7.043388038338403e-05,0.3521694019169201,0.036325794857343705,7.290343336238518e-05,3.555294595217288,1.5309721006100887,77.21335340523524,0.11059131148933886,0.0,0.0
NaturalGas_CTAvgCF_Moderate,Naturalgas,2040,8.607123860951304e-05,0.43035619304756517,0.04439065602843381,0.00011027194923405199,5.392727374658016,2.3157109339150916,94.55881701139052,0.0893470825127774,0.0,0.0
NaturalGas_CTAvgCF_Moderate,Naturalgas,2050,0.00014642949761402348,0.7321474880701174,0.07552001767384885,0.0001849447013701791,8.694887063819092,3.883838728773761,90.90294986703685,0.09063043273174977,0.0,0.0
Nuclear,Uranium,2030,751712.6061915341,2129484571.3228264,0.0,96852.6,0.0,20589964773.1234,30.223584329058575,0.8884396333983352,0.0,0.0
Nuclear,Uranium,2040,676925.1224271589,1917434638.7833602,0.0,96852.6,0.0,20589964773.1234,33.24946684088932,0.8000492510751795,0.0,0.0
Nuclear,Uranium,2050,652958.6366442454,1849591681.5961025,0.0,96216.2,0.0,20426114021.031,34.115033407183006,0.7768279528998718,0.0,0.0
Nuclear_Nuclear_Moderate,Uranium,2030,0.00036861993921595093,1.0468806273733007,0.0,5.3420884392737124e-05,24.07969019688071,7.797312285963911,89.31660935175272,0.789869099740484,0.0,0.0
Nuclear_Nuclear_Moderate,Uranium,2040,0.00038391772551869645,1.0903263404730978,0.0,5.9625584516222146e-05,26.843093007383917,8.702950315987785,95.42765865875772,0.73704310735332,0.0,0.0
Nuclear_Nuclear_Moderate,Uranium,2050,0.0006911425285802305,1.9628447811678547,0.0,0.00010900080699513084,46.830078470013255,15.9097577890093,93.61698689430231,0.7258138963709948,0.0,0.0
OffShoreWind_Class12_Moderate_floating_0,Wind,2030,0.00021189299862602414,0.0,0.0,8.918670853769989e-05,36.609191253545504,7.121291116609723,206.380025077357,0.27195925647789554,0.0,0.0
OffShoreWind_Class12_Moderate_floating_0,Wind,2040,0.0003745429197598597,0.0,0.0,0.00014834706909058057,58.88534990201384,11.287804673884914,187.35677775164106,0.2890080874707787,0.0,0.0
OffShoreWind_Class12_Moderate_floating_0,Wind,2050,0.0007605764920451347,0.0,0.0,0.0002969654453068345,112.01764956518997,20.857496450939863,174.70319869976294,0.29317325891624607,0.0,0.0
OffShoreWind_Class12_Moderate_floating_1,Wind,2030,0.0002577161540709592,0.0,0.0,8.982930736306471e-05,37.00327565895777,7.172600705018628,171.41291170988484,0.3284059109189501,0.0,0.0
OffShoreWind_Class12_Moderate_floating_1,Wind,2040,0.00037528296935765404,0.0,0.0,0.00013551126125103353,53.779438897058824,10.389815557049785,170.9889861614096,0.31700845346937306,0.0,0.0
OffShoreWind_Class12_Moderate_floating_1,Wind,2050,0.0007314972351438195,0.0,0.0,0.0002622125327747046,98.9678909265124,18.54843932321247,160.65177638931198,0.31933507137498907,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_0,Wind,2030,0.0005969694057113437,0.0,0.0,0.0002197617042876541,62.58635060486431,20.267083654520324,138.79008449462697,0.3109477614215485,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_0,Wind,2040,0.0010870350829963696,0.0,0.0,0.000389790571859229,105.57411811597426,33.94623920279179,128.34945210248748,0.3192269915480413,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_0,Wind,2050,0.0022820249764438616,0.0,0.0,0.000793386821065856,204.34361668584324,63.3711982790437,117.31458582985093,0.3292477273471538,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_1,Wind,2030,0.00026538882600503295,0.0,0.0,0.00011127585901573282,30.51831479401206,10.262193546007929,153.66324556274503,0.27300402642792493,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_1,Wind,2040,0.0006083446724918244,0.0,0.0,0.00021330413129891506,56.44246046312474,18.470620887129215,123.14249591996008,0.32646589375353835,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_1,Wind,2050,0.0012124450344075282,0.0,0.0,0.0004182284843676931,105.90632113448972,33.41088664653772,114.90599889264752,0.3318454182511533,0.0,0.0
Offshore Wind Turbine,Wind,2030,87.27193960475077,0.0,0.0,29.3,0.0,3266832.8000000003,37.432797011219,0.34095289510413457,0.0,0.0
Offshore Wind Turbine,Wind,2040,93.40129100278216,0.0,0.0,29.3,0.0,3266832.8000000003,34.97631312079712,0.3648989665875236,0.0,0.0
Onshore Wind Turbine,Wind,2030,374388.1644602803,0.0,0.0,154352.3,0.0,6637148900.0,17.727988035006778,0.27764917047786636,0.0,0.0
Onshore Wind Turbine,Wind,2040,293185.8101247464,0.0,0.0,122207.9,0.0,5254939700.0,17.923581287116512,0.27461929026980936,0.0,0.0
Onshore Wind Turbine,Wind,2050,121270.71338817757,0.0,0.0,51818.200000000004,0.0,2228182600.0,18.373624907010903,0.26789276460536654,0.0,0.0
Petroleum Liquids,Distillate,2030,17.876454283217925,120671.6891593875,17161.119848432,6386.099999999999,0.0,134108100.0,7508.6910168293725,0.0003204299059722717,0.0,0.0
Petroleum Liquids,Distillate,2040,19.50525798404374,126960.58502181727,18055.09926056926,4127.1,0.0,86669100.0,4449.880163391085,0.000540996034165816,0.0,0.0
Petroleum Liquids,Distillate,2050,12.509996727723788,83939.17090519365,11937.22370463248,1672.8999999999999,0.0,35130900.0,2814.9359218347763,0.0008560016258782668,0.0,0.0
Small Hydroelectric,Water,2030,23009.133620805824,0.0,0.0,4946.9,0.0,232741751.20000002,10.115189690999282,0.5324201819292921,0.0,0.0
Small Hydroelectric,Water,2040,20705.22152333806,0.0,0.0,4511.4,0.0,212252347.2,10.25115075251709,0.5253586905068937,0.0,0.0
Small Hydroelectric,Water,2050,18347.17507586111,0.0,0.0,4021.6000000000004,0.0,189208236.8,10.3126631766291,0.5222250589678916,0.0,0.0
Solar Photovoltaic,Solar,2030,251317.00617047382,0.0,0.0,116478.3,0.0,2635088580.9,10.48511846075614,0.24698138896299776,0.0,0.0
Solar Photovoltaic,Solar,2040,255140.9937718994,0.0,0.0,116318.7,0.0,2631477950.1,10.313818689804855,0.25108344433463364,0.0,0.0
Solar Photovoltaic,Solar,2050,175460.6191525155,0.0,0.0,81080.2,0.0,1834277364.6,10.454068687661433,0.24771495178098152,0.0,0.0
UtilityPV_Class1_Moderate,Solar,2030,817799.929621874,0.0,0.0,365559.7182821699,23194149735.058754,6317603051.352461,36.086763666091976,0.25608026438590004,0.0,0.0
UtilityPV_Class1_Moderate,Solar,2040,1676106.4692717602,0.0,0.0,754139.9655534682,43808705958.658394,12018463859.066265,33.307651298536314,0.2544116649827029,0.0,0.0
UtilityPV_Class1_Moderate,Solar,2050,2565512.3993900414,0.0,0.0,1153167.7674679372,64430591179.4117,17480356411.65886,31.927714561249108,0.2546648453275774,0.0,0.0
distributed_generation,Solar,2030,137672.11642555433,0.0,0.0,72744.0,0.0,0.0,0.0,0.21663877208097587,0.0,0.0
distributed_generation,Solar,2040,139082.5266921241,0.0,0.0,72744.0,0.0,0.0,0.0,0.21885817246656744,0.0,0.0
distributed_generation,Solar,2050,134866.1963975751,0.0,0.0,72744.0,0.0,0.0,0.0,0.21222341852063792,0.0,0.0
